Species,lipid_class,E11,E12,E14,E17,P0,P1,P7,P21,FA1,FA2
GluCer d18:1/15:0,GluCer,2.77E-08,5.63E-08,8.53E-08,1.27E-07,3.40E-07,3.27E-07,7.25E-07,1.02E-06,15:0,NA
GluCer d18:1/16:0,GluCer,3.88E-05,8.26E-05,0.000106296,0.000135629,0.000336717,0.000257691,0.001141794,0.000843576,16:0,NA
GluCer d18:0/16:0,GluCer,9.22E-07,1.90E-06,2.44E-06,3.12E-06,7.66E-06,5.72E-06,2.71E-05,1.90E-05,16:0,NA
GluCer d18:1/17:0,GluCer,2.99E-07,5.69E-07,5.99E-07,9.22E-07,3.54E-06,2.09E-06,3.67E-06,6.83E-06,17:0,NA
GluCer d18:1/18:0,GluCer,3.57E-06,6.91E-06,7.91E-06,1.59E-05,8.27E-05,3.65E-05,6.69E-05,0.000161075,18:0,NA
GluCer d18:0/18:0,GluCer,6.94E-08,1.42E-07,1.67E-07,3.31E-07,1.78E-06,7.64E-07,1.44E-06,3.09E-06,18:0,NA
GluCer d18:1/19:0,GluCer,2.93E-08,4.92E-08,5.39E-08,9.92E-08,4.84E-07,4.64E-07,2.05E-06,1.01E-05,19:0,NA
GluCer d18:1/20:0,GluCer,2.34E-06,5.85E-06,6.86E-06,1.08E-05,3.67E-05,2.03E-05,2.76E-05,8.67E-05,20:0,NA
GluCer d18:0/20:0,GluCer,5.52E-08,1.20E-07,1.54E-07,2.41E-07,8.09E-07,4.28E-07,5.60E-07,1.66E-06,20:0,NA
GluCer d18:1/21:0,GluCer,4.50E-08,1.08E-07,1.37E-07,2.21E-07,6.04E-07,9.83E-07,2.94E-06,1.68E-05,21:0,NA
GluCer d18:1/22:0,GluCer,8.81E-06,2.85E-05,3.77E-05,6.26E-05,0.000155213,0.000104762,0.000127719,0.000357843,22:0,NA
GluCer d18:0/22:0,GluCer,2.08E-07,6.80E-07,9.34E-07,1.67E-06,4.27E-06,2.42E-06,3.15E-06,8.42E-06,22:0,NA
GluCer d18:1/23:0,GluCer,7.69E-07,1.81E-06,2.28E-06,2.91E-06,8.43E-06,1.05E-05,6.27E-05,0.000236218,23:0,NA
GluCer d18:0/23:0,GluCer,1.50E-08,3.24E-08,4.49E-08,5.53E-08,1.79E-07,1.93E-07,1.41E-06,4.92E-06,23:0,NA
GluCer d18:1/24:1,GluCer,1.15E-05,2.91E-05,4.65E-05,4.93E-05,0.000155563,0.000135105,0.0004219,0.000614713,24:1,NA
GluCer d18:0/24:1,GluCer,2.70E-05,7.40E-05,0.000106524,0.000101431,0.000216128,0.000166766,0.000369624,0.000596886,24:1,NA
GluCer d18:1/24:0,GluCer,4.29E-07,1.21E-06,1.76E-06,1.88E-06,4.72E-06,3.81E-06,1.22E-05,1.76E-05,24:0,NA
GluCer d18:0/24:0,GluCer,5.95E-07,1.66E-06,2.38E-06,2.32E-06,4.99E-06,3.42E-06,8.57E-06,1.29E-05,24:0,NA
GluCer d18:1/25:1,GluCer,6.24E-08,1.56E-07,2.60E-07,1.95E-07,6.08E-07,1.83E-06,5.28E-06,9.74E-06,25:1,NA
GluCer d18:0/25:1,GluCer,2.24E-07,5.15E-07,7.21E-07,6.17E-07,1.35E-06,3.40E-06,1.38E-05,3.27E-05,25:1,NA
GluCer d18:1/26:1,GluCer,3.41E-07,9.62E-07,1.59E-06,9.14E-07,1.90E-06,2.27E-06,7.10E-06,6.12E-06,26:1,NA
GluCer d18:0/26:1,GluCer,5.00E-07,1.45E-06,1.96E-06,1.24E-06,1.90E-06,2.50E-06,7.32E-06,9.87E-06,26:1,NA
LacCer d18:1/14:0,LacCer,4.49E-08,9.69E-08,4.11E-07,2.38E-07,2.33E-07,1.00E-06,2.70E-06,2.25E-06,14:0,NA
LacCer d18:1/16:0,LacCer,1.28E-05,2.63E-05,4.30E-05,2.34E-05,4.38E-05,5.77E-05,9.02E-05,4.59E-05,16:0,NA
LacCer d18:0/16:0,LacCer,2.79E-07,5.44E-07,1.05E-06,4.93E-07,1.11E-06,3.00E-06,2.95E-06,1.60E-06,16:0,NA
LacCer d18:1/18:0,LacCer,1.12E-06,2.07E-06,4.77E-06,3.46E-06,6.23E-06,1.01E-05,1.03E-05,9.04E-06,18:0,NA
LacCer d18:1/20:0,LacCer,9.06E-07,1.24E-06,2.54E-06,1.30E-06,2.97E-06,5.14E-06,2.87E-06,3.15E-06,20:0,NA
LacCer d18:1/22:0,LacCer,3.81E-06,4.69E-06,1.10E-05,4.58E-06,1.24E-05,2.19E-05,7.42E-06,8.07E-06,22:0,NA
LacCer d18:1/23:0,LacCer,2.32E-07,2.67E-07,4.43E-07,1.51E-07,3.81E-07,9.07E-07,1.87E-06,3.44E-06,23:0,NA
LacCer d18:1/24:1,LacCer,3.51E-06,4.00E-06,8.56E-06,3.99E-06,1.10E-05,2.24E-05,1.97E-05,1.53E-05,24:1,NA
LacCer d18:1/24:0,LacCer,7.63E-06,6.73E-06,1.48E-05,5.31E-06,1.20E-05,2.38E-05,1.26E-05,9.72E-06,24:0,NA
PE42:3p,PE,1.32E-05,1.22E-05,6.68E-05,6.04E-05,0.000157327,0.000840529,0.000360092,0.000475063,42:3,NA
PE42:2p,PE,7.27E-06,3.39E-05,7.55E-05,7.56E-05,0.000166112,0.001030324,0.000327212,0.000590972,42:2,NA
PE42:1p,PE,7.85E-06,2.02E-05,8.53E-05,7.63E-05,0.00019812,0.001376348,0.000477991,0.000739064,42:1,NA
PE42:0p,PE,8.38E-06,2.08E-05,6.54E-05,5.06E-05,9.18E-05,0.000919475,0.000638748,0.000938387,42:0,NA
PE40:6p,PE,0.000108888,0.000243052,0.000238862,0.000203916,0.000679922,0.000802958,0.001532,0.002247637,40:6,NA
PE40:5p,PE,0.000109714,0.000196382,0.000229061,0.000187449,0.000639361,0.000844223,0.001495525,0.002917858,40:5,NA
PE40:4p,PE,8.36E-05,0.00018122,0.000246919,0.000242953,0.000648307,0.001408411,0.00122934,0.002240066,40:4,NA
PE38:6p,PE,0.000150903,0.000315219,0.000357906,0.000262124,0.001030007,0.001226241,0.003110217,0.004262564,38:6,NA
PE38:5p,PE,0.000191535,0.000425409,0.000356592,0.000354252,0.001222918,0.00120558,0.003187875,0.003809597,38:5,NA
PE38:4p,PE,0.000285906,0.000636058,0.000551751,0.000450832,0.001473035,0.001214507,0.003019276,0.00417886,38:4,NA
PE36:3p,PE,7.82E-05,0.000153718,0.000168566,0.000152851,0.000420273,0.000541222,0.001283446,0.001393124,36:3,NA
